id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG10002,The House on the Borderland,"Hodgson, William Hope",1877.0,1918.0,['en'],797,{'Science fiction'},
PG10005,"A Voyage to the Moon: With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians","Tucker, George",1775.0,1861.0,['en'],77,"{'Space flight to the moon -- Fiction', 'Science fiction'}",
PG10006,La Fiammetta,"Boccaccio, Giovanni",1313.0,1375.0,['en'],41,{'Fiction'},
PG10007,Carmilla,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],7054,"{'Vampires -- Fiction', 'Young women -- Fiction'}",
PG10008,The Mystery,"White, Stewart Edward",1873.0,1946.0,['en'],25,{'Science fiction'},
PG10021,Tenterhooks,"Leverson, Ada",1862.0,1933.0,['en'],10,"{'London (England) -- Social life and customs -- 20th century -- Fiction', 'Man-woman relationships -- Fiction'}",
PG10025,Gaslight Sonatas,"Hurst, Fannie",1889.0,1968.0,['en'],12,"{'Slums -- Fiction', 'City and town life -- Fiction', 'Short stories, American', 'Immigrants -- Fiction', 'Poor -- Fiction'}",
PG10027,"The Triple Alliance, Its Trials and Triumphs","Avery, Harold",1867.0,1943.0,['en'],6,{'Schools -- Juvenile fiction'},
PG10037,A Beautiful Possibility,"Black, Edith Ferguson",1857.0,1936.0,['en'],6,"{'Christian life -- Fiction', 'Orphans -- Fiction'}",
PG10038,The Magnetic North,"Robins, Elizabeth",1862.0,1952.0,['en'],44,{'Yukon -- Fiction'},
PG10041,The Rivet in Grandfather's Neck: A Comedy of Limitations,"Cabell, James Branch",1879.0,1958.0,['en'],29,{'Southern States -- Social life and customs -- Fiction'},
PG10045,"Dave Darrin's Second Year at Annapolis: Or, Two Midshipmen as Naval Academy ""Youngsters""","Hancock, H. Irving (Harrie Irving)",1868.0,1922.0,['en'],12,{'United States Naval Academy -- Juvenile fiction'},
PG10046,Salute to Adventurers,"Buchan, John",1875.0,1940.0,['en'],21,"{'Virginia -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Scottish Americans -- Virginia -- Fiction', 'Jamestown (Va.) -- Fiction', 'Historical fiction', 'Glasgow (Scotland) -- Fiction'}",
PG10048,"Billie Bradley and Her Inheritance; Or, The Queer Homestead at Cherry Corners","Wheeler, Janet D.",,,['en'],5,"{'Inheritance and succession -- Juvenile fiction', 'Girls -- Juvenile fiction'}",
PG10049,Old Lady Mary: A Story of the Seen and the Unseen,"Oliphant, Mrs. (Margaret)",1828.0,1897.0,['en'],12,"{'Death -- Fiction', 'Inheritance and succession -- Fiction'}",
PG10050,A Little Pilgrim: Stories of the Seen and the Unseen,"Oliphant, Mrs. (Margaret)",1828.0,1897.0,['en'],9,{'Death -- Fiction'},
PG10051,The Little Pilgrim: Further Experiences.: Stories of the Seen and the Unseen.,"Oliphant, Mrs. (Margaret)",1828.0,1897.0,['en'],5,{'Death -- Fiction'},
PG10052,"The Open Door, and the Portrait.: Stories of the Seen and the Unseen.","Oliphant, Mrs. (Margaret)",1828.0,1897.0,['en'],152,{'Manners and customs -- Fiction'},
PG10057,The Secret of the Tower,"Hope, Anthony",1863.0,1933.0,['en'],10,"{'Women physicians -- Fiction', 'England -- Social life and customs -- 20th century -- Fiction', 'Mystery fiction', 'World War, 1914-1918 -- Veterans -- Fiction'}",
PG10059,Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],11,"{'Cousins -- Juvenile fiction', 'Mystery and detective stories', 'Uncles -- Juvenile fiction', 'Family -- Juvenile fiction', 'Newspaper publishing -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Young women -- Social life and customs -- Juvenile fiction', 'Women authors -- Juvenile fiction'}",
PG10062,The Iron Game: A Tale of the War,"Keenan, Henry F. (Henry Francis)",1850.0,1928.0,['en'],7,"{'United States -- History -- Civil War, 1861-1865 -- Fiction'}",
PG10064,Beltane the Smith,"Farnol, Jeffery",1878.0,1952.0,['en'],9,{'Blacksmiths -- Fiction'},
PG10066,Gunman's Reckoning,"Brand, Max",1892.0,1944.0,['en'],55,"{'Western stories', 'Man-woman relationships -- Fiction', 'Frontier and pioneer life -- West (U.S.) -- Fiction', 'Outlaws -- Fiction'}",
PG10067,The Mystery of the Boule Cabinet: A Detective Story,"Stevenson, Burton Egbert",1872.0,1962.0,['en'],26,"{'Detective and mystery stories', 'Fiction'}",
PG10068,The Power and the Glory,"Cooke, Grace MacGowan",1863.0,1944.0,['en'],42,"{'Social classes -- Fiction', 'Appalachian Region -- Fiction', 'Working class women -- Fiction', 'Psychological fiction', 'Women -- Appalachian Region -- Fiction', 'Social problems -- Fiction', 'Mills and mill-work -- Fiction', 'Domestic fiction'}",
PG10076,Lister's Great Adventure,"Bindloss, Harold",1866.0,1945.0,['en'],11,"{'Africa -- Fiction', 'Shipwrecks -- Fiction', 'Love stories', 'Salvage -- Fiction'}",
PG10081,"The Boy Allies at Jutland; Or, The Greatest Naval Battle of History","Hayes, Clair W. (Clair Wallace)",1887.0,,['en'],11,"{'Jutland, Battle of, 1916 -- Juvenile fiction', 'World War, 1914-1918 -- Naval operations -- Juvenile fiction'}",
PG10082,The Hampstead Mystery,"Watson, John R. (John Reay)",1872.0,,['en'],41,"{'England -- Fiction', 'Detective and mystery stories'}",
PG10084,Kazan,"Curwood, James Oliver",1878.0,1927.0,['en'],38,"{'Dogs -- Fiction', 'Wolfdogs -- Fiction'}",
PG10086,The Minute Boys of the Mohawk Valley,"Otis, James",1848.0,1912.0,['en'],7,"{'United States -- History -- Revolution, 1775-1783 -- Juvenile fiction'}",
PG10087,Old Lady Number 31,"Forsslund, Louise",1873.0,1910.0,['en'],7,"{'Older people -- Fiction', 'Long Island (N.Y.) -- Fiction', 'Poor -- Fiction'}",
PG10093,Gutta-Percha Willie: The Working Genius,"MacDonald, George",1824.0,1905.0,['en'],4,"{'Water -- Juvenile fiction', 'Reading -- Juvenile fiction', 'Gifted persons -- Juvenile fiction', 'Physicians -- Juvenile fiction'}",
PG10094,A Soldier of Virginia: A Tale of Colonel Washington and Braddock's Defeat,"Stevenson, Burton Egbert",1872.0,1962.0,['en'],11,"{'Biographical fiction', 'Washington, George, 1732-1799 -- Fiction', 'Soldiers -- Fiction', 'Virginia -- History -- Colonial period, ca. 1600-1775 -- Fiction', ""Braddock's Campaign, 1755 -- Fiction"", 'Historical fiction'}",
PG10095,"The Twilight of the Gods, and Other Tales","Garnett, Richard",1835.0,1906.0,['en'],72,"{'Legends -- Fiction', 'Short stories, English', 'Satire', 'Mythology -- Fiction'}",
PG10101,A Little Boy Lost,"Hudson, W. H. (William Henry)",1841.0,1922.0,['en'],8,"{'Boys -- Juvenile fiction', 'Fantasy literature', 'Nature -- Juvenile fiction', 'Self-reliance -- Juvenile fiction'}",
PG10109,The Unspeakable Gentleman,"Marquand, John P. (John Phillips)",1893.0,1960.0,['en'],17,"{'Fathers and sons -- Fiction', 'Adventure stories', 'Massachusetts -- Fiction', 'Napoleon I, Emperor of the French, 1769-1821 -- Fiction'}",
PG10110,The Postmaster's Daughter,"Tracy, Louis",1863.0,1928.0,['en'],30,"{'Detective and mystery stories', 'Villages -- England -- Fiction'}",
PG10123,Aunt Jane's Nieces,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],22,"{'Cousins -- Juvenile fiction', 'Young women -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction', 'Families -- Economic aspects -- Juvenile fiction', 'Family -- Juvenile fiction', 'Aunts -- Juvenile fiction'}",
PG10124,Aunt Jane's Nieces and Uncle John,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],23,"{'Brigands and robbers -- Juvenile fiction', 'Cousins -- Juvenile fiction', 'Young women -- Juvenile fiction', 'California -- Juvenile fiction', 'Family -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Western stories', 'West (U.S.) -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Rocky Mountains -- Description and travel -- Juvenile fiction'}",
PG10127,Abducted to Oz,"Evans, Robert J.",,,['en'],19,"{'Oz (Imaginary place) -- Juvenile fiction', 'Fantasy literature'}",
PG10132,The Sowers,"Merriman, Henry Seton",1862.0,1903.0,['en'],5,{'Russia -- Fiction'},
