;title;author;downloads;subjects;birth;death;pyearp;firstpubyear;shortauthor;shorttitle;worldcaturl
PG11051;The Cruise of the Dazzler;London, Jack;33;{'Ocean travel -- Fiction'};1876;1916;1896;1960;jack+london;cruise+dazzler;https://www.worldcat.org/search?q=jack+london+cruise+dazzler&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG11057;The Wife of his Youth and Other Stories of the Color Line, and Selected Essays;Chesnutt, Charles W. (Charles Waddell);249;{'American essays', 'Racially mixed people -- Fiction', 'African Americans -- Fiction', 'Race relations -- Fiction', 'Race awareness -- Fiction', 'Racism -- Fiction'};1858;1932;1895;1967;charles w.+chesnutt;wife+youth;https://www.worldcat.org/search?q=charles w.+chesnutt+wife+youth&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG11140;"Rollo at Play; Or, Safe Amusements";Abbott, Jacob;85;{'Play -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Country life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Amusements -- Juvenile fiction'};1803;1879;1841;1850;jacob+abbott;rollo+play;https://www.worldcat.org/search?q=jacob+abbott+rollo+play&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG12452;Fort Lafayette or, Love and Secession: A Novel;Wood, Benjamin;7;{'United States -- History -- Civil War, 1861-1865 -- Fiction'};1820;1900;1860;1920;benjamin+wood;fort+lafayette;https://www.worldcat.org/search?q=benjamin+wood+fort+lafayette&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG13379;The Two Elsies: A Sequel to Elsie at Nantucket;Finley, Martha;22;{'Families -- Juvenile fiction', 'Christian life -- Juvenile fiction', 'Christmas -- Juvenile fiction', 'Dinsmore, Elsie (Fictitious character) -- Juvenile fiction'};1828;1909;1868;1889;martha+finley;elsies+sequel;https://www.worldcat.org/search?q=martha+finley+elsies+sequel&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1438;No Name;Collins, Wilkie;170;{'Illegitimacy -- Fiction', 'Sisters -- Fiction', 'Young women -- Fiction', 'Orphans -- Fiction', 'Psychological fiction', 'England -- Fiction', 'Disinheritance -- Fiction'};1824;1889;1856;1982;wilkie+collins;name;https://www.worldcat.org/search?q=wilkie+collins+name&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG14534;Christmas with Grandma Elsie;Finley, Martha;44;{'Christmas stories', 'Christian life -- Juvenile fiction', 'Dinsmore, Elsie (Fictitious character) -- Juvenile fiction'};1828;1909;1868;2000;martha+finley;christmas+with;https://www.worldcat.org/search?q=martha+finley+christmas+with&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG14710;Uncle Titus and His Visit to the Country;Spyri, Johanna;15;{'Authors -- Juvenile fiction', 'Country life -- Juvenile fiction', 'Orphans -- Juvenile fiction', 'Switzerland -- Juvenile fiction'};1827;1901;1864;1886;johanna+spyri;uncle+titus;https://www.worldcat.org/search?q=johanna+spyri+uncle+titus&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG15712;Hugo: A Fantasia on Modern Themes;Bennett, Arnold;16;{'English fiction'};1867;1931;1899;1900;arnold+bennett;hugo+fantasia;https://www.worldcat.org/search?q=arnold+bennett+hugo+fantasia&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG15964;The Child of the Dawn;Benson, Arthur Christopher;10;{'Near-death experiences -- Fiction', 'Religious fiction', 'Fantasy fiction', 'Spiritual life -- Fiction'};1862;1925;1894;1957;arthur christopher+benson;child+dawn;https://www.worldcat.org/search?q=arthur christopher+benson+child+dawn&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
