;author;year;avgsentlen
PG14379;Finley;1868;26.75796178343949
PG38504;Byron;1898;17.86602870813397
PG63386;Russell;1878;22.943234836702956
PG52701;Harland;1883;19.28738910012674
PG14369;Hancock;1895;16.992087042532145
PG10565;Jacobs;1903;23.45679012345679
PG32566;Mitford;1884;19.668016194331983
PG50169;Atherton;1902;19.0381679389313
PG65841;Stockton;1868;20.103896103896105
PG28221;Raymond;1876;21.50687120485778
PG12269;Bell;1902;16.048210922787195
PG56834;Forrester;1911;20.403924221921514
PG43159;Peard;1879;20.035014836795252
PG43249;MacDonald;1893;30.089601769911503
PG27913;Reid;1850;19.562523008958156
PG17636;Stratemeyer;1896;14.659660624758967
PG289;Grahame;1896;24.60707635009311
PG27680;Hancock;1895;16.845563794425978
PG32924;Fenn;1870;25.32880902313133
PG12352;Harper;1868;20.816838995568684
PG32524;Brazil;1908;20.522860492379834
PG61378;Oliphant;1862;13.983855328226511
PG56883;Harris;1878;22.183275058275058
PG65433;Montgomery;1892;23.520274129069104
PG1734;Wells;1906;17.210745522698875
PG36333;Brandeis;1917;15.466281310211945
PG44336;Stringer;1912;19.861392210978227
PG14872;Potter;1904;26.492753623188406
PG30446;Cobb;1893;21.17230376515635
PG65153;Oliphant;1862;23.797467233439605
PG18654;Stockton;1868;21.062381852551987
PG2285;Raine;1912;17.287529112852003
PG40262;Standish;1906;15.325287207951465
PG50438;Munro;1897;25.932468694096602
PG1278;Wiggin;1890;27.114266396213658
PG37152;Sheard;1904;18.755200774068697
PG26367;Hough;1890;20.653580587887156
PG21652;Ellis;1878;25.488139167105956
PG6230;Parker;1897;24.307820299500833
PG2903;Galsworthy;1900;27.47716346153846
PG24353;Thayer;1887;21.99092615769712
PG66453;Stacpoole;1907;26.40719696969697
PG32556;Raymond;1876;19.211121022896222
PG53997;Merwin;1905;17.15486121644168
PG47991;Munro;1897;23.772606382978722
PG32249;Otis;1880;28.241792197759754
PG18531;Wiggin;1890;30.361241217798593
PG21993;Sand;1840;24.679493670886075
PG10926;Jackson;1858;24.386008387342738
PG33857;Freytag;1856;23.926383234332242
PG16259;Baum;1888;27.268902038132808
PG3292;Yonge;1862;27.75844277673546
PG15335;Loti;1886;32.136679920477135
PG54678;Barzini;1910;15.226976069615663
PG21693;Ballantyne;1860;25.273150962512666
PG56986;Benson;1904;22.897419144070565
PG30810;Finnemore;1889;19.98259799613289
PG54078;Pansy;1886;24.86925960637301
PG60486;A. L. O. E.;1857;27.946105428796223
PG37252;Stables;1875;23.85307621671258
PG38531;Allen;1874;19.57932718996336
PG904;Stratton-Porter;1894;22.54155423637345
PG1557;Pyle;1882;27.335930196322842
PG3103;Warner;1864;22.517638036809817
PG12609;Hobart;1896;21.559390862944163
PG42731;Black;1870;27.311150442477874
PG62336;Russell;1878;31.870708872046368
PG45745;Bensusan;1915;29.828592005761614
PG25993;Henty;1867;28.163563598399165
PG64903;Sabin;1911;17.58474753823591
PG1883;Chekhov;1882;23.97837578087458
PG8913;MacDonald;1864;25.12747353888633
PG21482;Kingston;1847;33.75839222614841
PG21478;Kingston;1847;27.522308546059932
PG51701;Richards;1896;17.38753581661891
PG42044;Oliphant;1862;26.502713369511593
PG21363;Fenn;1870;19.51835241354892
PG23121;Holt;1864;21.30776992936428
PG56177;Hume;1896;24.533781653882524
PG54854;Harland;1883;18.633390410958903
PG23063;Coppée;1875;24.737373737373737
PG41438;Hope;1898;26.0085497150095
PG8886;MacDonald;1864;20.31815586640023
PG4404;Meredith;1868;34.18574514038877
PG23493;Ballantyne;1860;26.949707348796878
PG30031;Erskine;1889;19.966663172240278
PG18640;Trollope;1848;21.911334978984588
PG34681;Ellis;1878;20.4763202725724
PG58099;France;1884;20.95380507343124
PG56685;Rich;1884;27.77150818530129
PG35374;Bangs;1892;20.976923076923075
PG49173;Wells;1902;16.613636363636363
PG33615;Stratemeyer;1896;16.289631533847473
PG2866;Ainsworth;1844;24.02668759811617
PG66471;Grier;1900;31.381481481481483
PG56692;Burnett;1886;23.723837209302324
PG21298;Fenn;1870;21.965867320147034
PG28302;Paine;1899;18.39331619537275
PG5480;Ebers;1868;31.271604938271604
PG746;London;1896;20.83061084420041
PG45651;Finley;1868;24.12268188302425
