,title,author,downloads,subjects,firstpubyear,shortauthor,shorttitle,worldcaturl
PG6252,Michel and Angele [A Ladder of Swords] — Volume 3,"Parker, Gilbert",13,"{'Great Britain -- History -- Elizabeth, 1558-1603 -- Fiction', 'Jersey (Channel Islands) -- Fiction', 'Huguenots -- Fiction'}",1912.0,Gilbert+Parker,Michel+Angele,https://www.worldcat.org/search?q=Gilbert+Parker+Michel+Angele&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG36494,"The Devil's Elixir, Vol. 1 (of 2)","Hoffmann, E. T. A. (Ernst Theodor Amadeus)",76,{'Gothic fiction'},1829.0,Hoffmann,Devil+Elixir,https://www.worldcat.org/search?q=Hoffmann+Devil+Elixir&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG52025,"Motor Matt's Make-and-Break; or, Advancing the Spark of Friendship","Matthews, Stanley R.",3,"{'Mechanics -- Juvenile fiction', 'Dime novels', 'Cowboys -- Juvenile fiction', 'Airplanes -- Juvenile fiction', 'Adventure stories'}",1909.0,Stanley+Matthews,Motor+Matt,https://www.worldcat.org/search?q=Stanley+Matthews+Motor+Matt&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG9111,The Bride of Dreams,"Eeden, Frederik van",17,{'Fiction'},1913.0,Frederik+Eeden,Bride+Dreams,https://www.worldcat.org/search?q=Frederik+Eeden+Bride+Dreams&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG46586,Alice Wilde: The Raftsman's Daughter. A Forest Romance,"Victor, Metta Victoria Fuller",19,"{'Sawmills -- Michigan -- Fiction', 'Young men -- New York (State) -- New York -- Fiction', 'Logging -- Fiction', 'Love stories'}",1860.0,Metta+Victor,Alice+Wilde,https://www.worldcat.org/search?q=Metta+Victor+Alice+Wilde&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG41964,"Mark Tidd, Editor","Kelland, Clarence Budington",38,"{'Friendship -- Juvenile fiction', 'Michigan -- Juvenile fiction', 'Newspaper editors -- Juvenile fiction', 'Boys -- Juvenile fiction'}",1913.0,Clarence+Kelland,Mark+Tidd,https://www.worldcat.org/search?q=Clarence+Kelland+Mark+Tidd&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG26995,"Montezuma's Castle, and Other Weird Tales","Cory, Charles B. (Charles Barney)",53,"{'Short stories, American', 'Fiction'}",1800.0,Charles+Cory,Montezuma+Castle,https://www.worldcat.org/search?q=Charles+Cory+Montezuma+Castle&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG40831,The Wiles of the Wicked,"Le Queux, William",23,"{'Amnesia -- Fiction', 'Millionaires -- Fiction', 'Mystery fiction', 'Princesses -- Fiction', 'Blindness -- Fiction'}",1899.0,William+Queux,Wiles+Wicked,https://www.worldcat.org/search?q=William+Queux+Wiles+Wicked&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG40621,Little Tony of Italy,"Brandeis, Madeline",8,"{'Children -- Juvenile fiction', 'Italy -- Juvenile fiction'}",1934.0,Madeline+Brandeis,Little+Tony,https://www.worldcat.org/search?q=Madeline+Brandeis+Little+Tony&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG20756,Rabbi and Priest: A Story,"Goldsmith, Milton",20,"{'Jews -- Fiction', 'Jewish fiction'}",1891.0,Milton+Goldsmith,Rabbi+Priest,https://www.worldcat.org/search?q=Milton+Goldsmith+Rabbi+Priest&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
