id,title,author,year-birth,year-death,year-worldcat,year-ref,language,downloads,subjects,shortauthor,shorttitle,worldcaturl
PG21453,Captain Mugford: Our Salt and Fresh Water Tutors,"Kingston, William Henry Giles",1814.0,1880.0,1869.0,1869,['en'],13,"{'Brothers -- Juvenile fiction', 'Blacks -- West Indies -- Juvenile fiction', 'Shipwrecks -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Seafaring life -- Juvenile fiction', 'Students -- Juvenile fiction', 'Natural history -- Juvenile fiction', 'Sailors -- Juvenile fiction', 'Pirates -- Juvenile fiction'}",William+Kingston,Captain+Mugford,https://www.worldcat.org/search?q=William+Kingston+Captain+Mugford&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG32,Herland,"Gilman, Charlotte Perkins",1860.0,1935.0,1998.0,1908,['en'],2004,"{'Utopias -- Fiction', 'Utopian fiction', 'Women -- Fiction', 'Black humor'}",Charlotte+Gilman,Herland,https://www.worldcat.org/search?q=Charlotte+Gilman+Herland&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG22737,John Gayther's Garden and the Stories Told Therein,"Stockton, Frank Richard",1834.0,1902.0,1899.0,1899,['en'],61,"{'United States -- Social life and customs -- 19th century -- Fiction', 'Gardeners -- Fiction'}",Frank+Stockton,John+Gayther,https://www.worldcat.org/search?q=Frank+Stockton+John+Gayther&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG22318,"Crocker's Hole: From ""Slain By The Doones"" By R. D. Blackmore","Blackmore, R. D. (Richard Doddridge)",1825.0,1900.0,1900.0,1872,['en'],5,{'England -- Social life and customs -- 19th century -- Fiction'},Blackmore,Crocker+Hole,https://www.worldcat.org/search?q=Blackmore+Crocker+Hole&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6250,Michel and Angele [A Ladder of Swords] — Volume 1,"Parker, Gilbert",1862.0,1932.0,1912.0,1912,['en'],3,"{'Great Britain -- History -- Elizabeth, 1558-1603 -- Fiction', 'Jersey (Channel Islands) -- Fiction', 'Huguenots -- Fiction'}",Gilbert+Parker,Michel+Angele,https://www.worldcat.org/search?q=Gilbert+Parker+Michel+Angele&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6662,Little Citizens: The Humours of School Life,"Kelly, Myra",1876.0,1910.0,1904.0,1904,['en'],12,"{'Short stories', 'United States -- Social life and customs -- 20th century -- Fiction', 'Students -- New York (State) -- New York -- Fiction'}",Myra+Kelly,Little+Citizens,https://www.worldcat.org/search?q=Myra+Kelly+Little+Citizens&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG5897,Castle Richmond,"Trollope, Anthony",1815.0,1882.0,1860.0,1860,['en'],108,"{'Great Britain -- Fiction', 'Social classes -- Fiction', 'Ireland -- Fiction', 'Love stories', 'Historical fiction'}",Anthony+Trollope,Castle+Richmond,https://www.worldcat.org/search?q=Anthony+Trollope+Castle+Richmond&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG20366,Wonderwings and other Fairy Stories,"Howes, Edith",1872.0,1954.0,1900.0,1900,['en'],52,"{'Fairies -- Juvenile fiction', ""Children's stories, New Zealand"", 'Fairy tales'}",Edith+Howes,Wonderwings+other,https://www.worldcat.org/search?q=Edith+Howes+Wonderwings+other&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG20551,The White Invaders,"Cummings, Ray",1887.0,1957.0,2012.0,1932,['en'],30,{'Science fiction'},Ray+Cummings,White+Invaders,https://www.worldcat.org/search?q=Ray+Cummings+White+Invaders&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG65813,Citadel of the Star Lords,"Hamilton, Edmond",1904.0,1977.0,2006.0,1950,['en'],114,"{'Extraterrestrial beings -- Fiction', 'Time travel -- Fiction', 'Post-apocalyptic fiction', 'Science fiction', 'Adventure stories', 'Human-alien encounters -- Fiction'}",Edmond+Hamilton,Citadel+Star,https://www.worldcat.org/search?q=Edmond+Hamilton+Citadel+Star&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
