id;title;author;year-birth;year-death;year-worldcat;year-ref;language;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG8404;Jane Talbot;Brown, Charles Brockden;1771.0;1810.0;1859.0;1800;['en'];14;{'Epistolary fiction'};Charles+Brown;Jane+Talbot;https://www.worldcat.org/search?q=Charles+Brown+Jane+Talbot&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1461;A Legend of Montrose;Scott, Walter;1771.0;1832.0;1800.0;1800;['en'];103;{'Montrose, James Graham, Marquis of, 1612-1650 -- Fiction', 'Historical fiction', 'Scotland -- History -- Charles I, 1625-1649 -- Fiction'};Walter+Scott;Legend+Montrose;https://www.worldcat.org/search?q=Walter+Scott+Legend+Montrose&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG45678;Tales of the Covenanters;Guthrie, Ellen Emma;;;1800.0;1800;['en'];20;{'Covenanters -- Fiction'};Ellen+Guthrie;Tales+Covenanters;https://www.worldcat.org/search?q=Ellen+Guthrie+Tales+Covenanters&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG18052;Medoline Selwyn's Work;Colter, J. J., Mrs.;;;1800.0;1800;['en'];14;{'Fiction'};Mrs+Colter;Medoline+Selwyn;https://www.worldcat.org/search?q=Mrs+Colter+Medoline+Selwyn&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21579;"Snarleyyow; or, The Dog Fiend";Marryat, Frederick;1792.0;1848.0;1800.0;1800;['en'];24;{'Historical fiction', 'Seafaring life -- Fiction', 'Great Britain. Royal Navy -- Fiction', 'Dogs -- Fiction'};Frederick+Marryat;Snarleyyow+Fiend;https://www.worldcat.org/search?q=Frederick+Marryat+Snarleyyow+Fiend&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG42024;A cup of sweets, that can never cloy: or, delightful tales for good children;Semple, Elizabeth, active 1804-1816;;;1804.0;1804;['en'];45;"{'Children -- Conduct of life -- Juvenile fiction', ""Children's stories"", 'Conduct of life -- Juvenile fiction'}";Elizabeth+Semple;sweets+that;https://www.worldcat.org/search?q=Elizabeth+Semple+sweets+that&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG49806;"Addie's Husband; or, Through clouds to sunshine";Gordon Smythies, Mrs.;;1883.0;1800.0;1800;['en'];25;{'Dime novels', 'England -- Social life and customs -- 19th century -- Fiction', 'Husband and wife -- Fiction'};Smythies+Gordon;Addie+Husband;https://www.worldcat.org/search?q=Smythies+Gordon+Addie+Husband&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG471;The Bride of Lammermoor;Scott, Walter;1771.0;1832.0;1800.0;1800;['en'];222;{'Psychological fiction', 'Scotland -- Fiction', 'Love stories', 'Historical fiction', 'Women murderers -- Fiction', 'Arranged marriage -- Fiction'};Walter+Scott;Bride+Lammermoor;https://www.worldcat.org/search?q=Walter+Scott+Bride+Lammermoor&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG32223;"Specimens of German Romance; Vol. II. Master Flea";Hoffmann, E. T. A. (Ernst Theodor Amadeus);1776.0;1822.0;2014.0;1809;['en'];48;{'German fiction -- Translations into English'};Hoffmann;Specimens+German;https://www.worldcat.org/search?q=Hoffmann+Specimens+German&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG7987;"The Fair Maid of Perth; Or, St. Valentine's Day";Scott, Walter;1771.0;1832.0;1800.0;1800;['en'];67;{'Social classes -- Fiction', 'Perth (Scotland) -- Fiction', 'Scotland -- History -- Robert III, 1390-1406 -- Fiction', 'Nobility -- Fiction', 'Merchants -- Fiction', 'Historical fiction'};Walter+Scott;Fair+Maid;https://www.worldcat.org/search?q=Walter+Scott+Fair+Maid&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG49635;Attila: A Romance. Vol. II.;James, G. P. R. (George Payne Rainsford);;1860.0;1800.0;1800;['en'];2;{'Attila, -453 -- Fiction'};James;Attila+Romance;https://www.worldcat.org/search?q=James+Attila+Romance&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG42671;Pride and Prejudice;Austen, Jane;1775.0;1817.0;2008.0;1806;['en'];1963;{'Sisters -- Fiction', 'Social classes -- Fiction', 'Courtship -- Fiction', 'England -- Fiction', 'Love stories', 'Domestic fiction', 'Young women -- Fiction'};Jane+Austen;Pride+Prejudice;https://www.worldcat.org/search?q=Jane+Austen+Pride+Prejudice&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG37005;The Devil's Elixir, Vol. 2 (of 2);Hoffmann, E. T. A. (Ernst Theodor Amadeus);1776.0;1822.0;1829.0;1809;['en'];56;{'Gothic fiction'};Hoffmann;Devil+Elixir;https://www.worldcat.org/search?q=Hoffmann+Devil+Elixir&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG49947;The Alhambra;Irving, Washington;1783.0;1859.0;1800.0;1800;['en'];270;{'Spain -- Social life and customs', 'Palaces -- Spain -- Granada', 'Alhambra (Granada, Spain) -- Fiction', 'Irving, Washington, 1783-1859 -- Travel -- Spain', 'Palaces -- Spain -- Granada -- Fiction', 'Spain -- Social life and customs -- Fiction', 'Alhambra (Granada, Spain)'};Washington+Irving;Alhambra;https://www.worldcat.org/search?q=Washington+Irving+Alhambra&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
