;author;year;avgsentlen
PG1900;Melville;1855;37.58163811563169
PG16698;Cody;1910;17.729922382385553
PG50761;Mathewson;1902;18.744216499345264
PG24073;Birmingham;1908;18.640610630862607
PG4481;Meredith;1868;20.727568270481143
PG25893;Schwartz;1915;17.206611570247933
PG43107;Molesworth;1880;24.636936936936937
PG34461;Eastman;1898;20.303040427664552
PG55142;Alger;1866;16.961143695014663
PG33528;Chatfield-Taylor;1905;22.868212324588164
PG54900;Frederic;1877;24.24900310146212
PG40450;Marsh;1886;20.756462585034015
PG61442;Oliphant;1862;22.267291910902696
PG11051;London;1896;19.13685474189676
PG36390;Fox;1890;21.12618526622903
PG20018;McIntosh;1840;25.826773455377573
PG48068;England;1906;15.96727531420441
PG45652;Moore;1894;22.359616186900293
PG47925;Parker;1898;14.7109375
PG6267;Parker;1897;20.2095046854083
PG38896;Paine;1899;41.73458235753318
PG7105;Twain;1872;24.82904884318766
PG46176;Frost;1882;26.187172011661808
PG34252;Lee;1896;27.92022684310019
PG53009;Atherton;1902;17.845606435643564
PG66249;Rathborne;1896;20.516578567996156
PG504;Sousa;1893;22.213053263315828
PG23664;Waller;1896;23.03702717101758
PG30852;Baum;1888;24.26910435497124
PG42167;Wills;1877;25.159857904085257
PG43152;Peard;1879;18.410987974534308
PG28192;Paine;1899;42.7299771167048
PG29135;Kipling;1900;20.219957081545065
PG48389;Taggart;1906;21.012127659574467
PG4948;Osbourne;1908;23.931268561731013
PG59277;Downs;1884;31.132577100319036
PG18488;Comstock;1902;17.36242912563414
PG60037;Hughes;1914;17.926560871076102
PG24996;Becke;1884;26.396793587174347
PG25753;Whipple;1899;19.38533908271266
PG4014;Leblanc;1902;15.231935088793632
PG721;Wiggin;1890;32.46719681908549
PG66231;Harbaugh;1886;17.169301966833782
PG15712;Bennett;1899;16.852636127917027
PG43170;Peard;1879;25.177835051546392
PG32825;Bradshaw;1889;25.49419463795651
PG58908;Tautphoeus;1850;26.72563410685375
PG58707;Oliphant;1862;24.85961152042867
PG26149;Barbour;1907;17.38628011433238
PG41698;Porter;1866;27.984768211920528
PG14534;Finley;1868;24.298881193393715
PG11057;Chesnutt;1895;28.16825483256194
PG28537;Kipling;1900;21.016624040920718
PG5820;Warner;1864;28.434736842105263
PG44770;Mathews;1875;27.661439114391143
PG1906;Butler;1868;40.10526315789474
PG13379;Finley;1868;25.53734439834025
PG1438;Collins;1856;21.468309419837805
PG39652;Brebner;1893;18.955932731236373
PG12452;Wood;1860;22.65582475937604
PG2730;Haggard;1890;30.17735849056604
PG45659;Meade;1884;17.859333017227755
PG59177;Vance;1906;24.09867247870022
PG5456;Ebers;1868;24.56641870350691
PG40111;Black;1870;26.22366710013004
PG3322;Wood;1850;17.62254778672032
PG4474;Meredith;1868;20.258064516129032
PG32897;Chester;1896;21.460097323600973
PG34500;Stephens;1848;21.891054646710757
PG22667;Day;1900;18.548968653565048
PG8679;Henty;1867;29.07285524063154
PG51308;Oxley;1881;30.347970173985086
PG54726;Zola;1871;23.62186537615486
PG2497;Reade;1849;20.3215744522837
PG19968;Stephens;1888;21.699877214523767
PG16121;Ewing;1863;25.20885093167702
PG541;Wharton;1900;27.283151954856912
PG23555;Murfree;1886;25.932075471698113
PG42165;Moodie;1844;21.897089397089395
PG775;Wells;1906;16.81596347607053
PG14710;Spyri;1864;25.567045454545454
PG36080;Brazil;1908;19.475583405358687
PG2870;James;1880;20.72009512485137
PG6175;Parker;1897;18.26923076923077
PG54350;Alger;1866;14.327549575070822
PG15964;Benson;1894;28.57804232804233
PG3962;Coppée;1875;25.941305712492152
PG66349;Hawthorne;1890;21.234739454094292
PG11140;Abbott;1841;23.165498652291106
PG36672;Speed;1896;22.05125038592158
PG53995;Locke;1896;16.366718027734976
PG44380;Aimard;1850;26.168075117370893
PG56827;Vachell;1908;14.448742064425112
PG35516;Marchmont;1888;18.454479559292547
PG21127;Thurston;1893;19.45157894736842
PG35920;Wells;1906;17.1684375
