id,title,author,downloads,subjects,birth,death,pyearp
PG56310,The Undercurrent,"Grant, Robert",15,"{'Married people -- Fiction', 'American fiction -- 20th century', 'Divorce -- Fiction', 'Rich people -- Fiction'}",1852.0,1940.0,1896.0
PG4680,"Manuel Pereira; Or, The Sovereign Rule of South Carolina","Adams, F. Colburn (Francis Colburn)",12,"{'Biographical fiction', 'Pereira, Manuel -- Fiction', 'South Carolina -- Fiction', 'African Americans -- Fiction'}",1850.0,1891.0,1870.0
PG7887,Fortitude,"Walpole, Hugh",24,"{'London (England) -- Fiction', 'Young men -- Fiction'}",1884.0,1941.0,1912.0
PG1290,Salammbo,"Flaubert, Gustave",264,"{'Historical fiction', 'Carthage (Extinct city) -- History -- Fiction'}",1821.0,1880.0,1850.0
PG36365,"J. Poindexter, Colored","Cobb, Irvin S. (Irvin Shrewsbury)",27,"{'New York (N.Y.) -- Fiction', 'African Americans -- Fiction'}",1876.0,1944.0,1910.0
PG5401,Old Rose and Silver,"Reed, Myrtle",8,"{'Musicians -- Fiction', 'American fiction -- 20th century', 'Man-woman relationships -- Fiction'}",1874.0,1911.0,1892.0
PG11243,"Miles Wallingford: Sequel to ""Afloat and Ashore""","Cooper, James Fenimore",40,"{'Merchant mariners -- Fiction', 'Seafaring life -- Fiction', 'Sea stories'}",1789.0,1851.0,1820.0
PG35531,Countess Erika's Apprenticeship,"Schubin, Ossip",5,{'Austrian fiction -- Translations into English'},1854.0,1934.0,1894.0
PG24704,"On the Vice of Novel Reading.: Being a brief in appeal, pointing out errors of the lower tribunal.","Allison, Young Ewing",14,"{'Fiction in libraries', 'Books and reading'}",1853.0,1932.0,1892.0
PG51989,The Woman in the Alcove,"Lee, Jennette",10,{'Married people -- Fiction'},1860.0,1951.0,1906.0
PG22013,The Lady of the Ice: A Novel,"De Mille, James",11,{'Canada -- Fiction'},1833.0,1880.0,1856.0
PG8532,Andivius Hedulio: Adventures of a Roman Nobleman in the Days of the Empire,"White, Edward Lucas",15,"{'Historical fiction', 'Nobility -- Fiction', 'Rome -- History -- Empire, 30 B.C.-476 A.D. -- Fiction'}",1866.0,1934.0,1900.0
PG366,Bab: A Sub-Deb,"Rinehart, Mary Roberts",58,{'Debutantes -- Fiction'},1876.0,1958.0,1917.0
PG34882,Barrington. Volume 1 (of 2),"Lever, Charles James",15,"{'Aristocracy (Social class) -- Fiction', 'Ireland -- Fiction', 'Inheritance and succession -- Fiction'}",1806.0,1872.0,1839.0
PG5437,An Original Belle,"Roe, Edward Payson",13,"{'Love stories', 'United States -- History -- Civil War, 1861-1865 -- Fiction'}",1838.0,1888.0,1863.0
PG35335,The Sherrods,"McCutcheon, George Barr",5,{'Bigamy -- Fiction'},1866.0,1928.0,1897.0
PG35142,Hermann: A Novel,"Werner, E.",9,{'German fiction -- Translations into English'},1838.0,1918.0,1878.0
PG49850,"The Tower of London: A Historical Romance, Illustrated","Ainsworth, William Harrison",36,"{'London (England) -- Fiction', 'Tower of London (London, England) -- Fiction', 'Grey, Jane, Lady, 1537-1554 -- Fiction'}",1805.0,1882.0,1844.0
PG30970,Miss Cayley's Adventures,"Allen, Grant",52,"{'Man-woman relationships -- Fiction', 'Mystery fiction', 'Travel -- Fiction', 'Adventure stories', 'Young women -- Fiction'}",1848.0,1899.0,1874.0
PG39200,The English Novel and the Principle of its Development,"Lanier, Sidney",28,{'English fiction -- History and criticism'},1842.0,1881.0,1862.0
PG40454,"Frivolities, Especially Addressed to Those Who Are Tired of Being Serious","Marsh, Richard",9,"{'Fiction', 'Humorous stories, English', 'Short stories, English'}",1857.0,1915.0,1886.0
PG8525,"Eve's Diary, Complete","Twain, Mark",1022,"{'Bible. Genesis -- History of Biblical events -- Fiction', 'Diary fiction', 'Humorous stories', 'Eve (Biblical figure) -- Fiction'}",1835.0,1910.0,1872.0
PG42870,Mildred Keith,"Finley, Martha",43,"{'Families -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction'}",1828.0,1909.0,1868.0
PG11686,Without Dogma: A Novel of Modern Poland,"Sienkiewicz, Henryk",11,{'Poland -- Fiction'},1846.0,1916.0,1881.0
PG4795,"The Circassian Slave, or, the Sultan's favorite : a story of Constantinople and the Caucasus","Ballou, Maturin M. (Maturin Murray)",19,{'Fiction'},1820.0,1895.0,1858.0
PG53192,A Texas Blue Bonnet,"Jacobs, Caroline Emilia",14,"{'Young women -- Juvenile fiction', 'Texas -- Juvenile fiction', 'Bildungsromans', 'Ranch life -- Juvenile fiction', 'Families -- Juvenile fiction'}",1872.0,1909.0,1890.0
