;author;title;year;avgsentlen
PG24933;Edgar+Wallace;Knew;1930;19.34013230429989
PG32077;Winston+Marks;Breeder+Reaction;1957;18.31761006289308
PG50194;Frank+Baum;Magic;1898;24.007798960138647
PG44159;William+Scargill;Penelope+Love;1828;33.82079414838036
PG29323;Ames;Sailor+Yarns;1826;43.48284023668639
PG54491;Bunner;More+Short;1886;31.10976253298153
PG58412;Ethel+Eliot;Ariel+Dances;1931;16.35060519515844
PG17308;William+Black;Sunrise;1880;20.927835958813695
PG10778;Walter+Scott;Prose+Marmion;1820;25.337677725118482
PG35620;Mayne+Reid;Osceola+Seminole;1858;20.63101307913988
PG54536;Walter+Eaton;Scouts+Crater;1922;18.590160759248498
PG52632;Percy+Westerman;Third+Officer;1921;20.07897258961089
PG33217;Charles+Lever;Diary+Notes;1848;32.72138047138047
PG1649;Honoré+Balzac;Ferragus+Chief;1834;25.1915261565067
PG49985;Howard+Pyle;Story+Jack;1892;21.152706907280646
PG54074;Clarence+Darrow;Blue+Book;1899;29.470134091832588
PG37486;Quincy+Allen;Outdoor+Chums;1911;18.8350394852296
PG2171;George+Eliot;Brother+Jacob;1860;35.83220338983051
PG36867;Mark+Clifton;Progress+Report;1944;16.107296137339056
PG59285;Winston+Marks;Until+Life;1957;14.343137254901961
PG26778;John+Goldfrap;Ocean+Wireless;1908;17.31848367459878
PG2276;James+Hogg;Private+Memoirs;1812;33.20644354081952
PG26485;George+Chester;Making+Bobby;1906;22.395860525825096
PG50923;Don+Wilcox;Serpent+River;1936;13.454545454545455
PG25780;Ray+Cummings;Fire+People;1932;18.575101778444395
PG40621;Madeline+Brandeis;Little+Tony;1934;11.785313901345292
PG1257;Alexandre+Dumas;Three+Musketeers;1846;20.525323988362867
PG7423;Wodehouse;Mike;1938;15.80524906266738
PG56373;Pierce+Egan;Flower+Flock;1820;26.324946466809422
PG21476;William+Kingston;Salt+Water;1857;28.14891089108911
PG35291;Robinson;Mattie+Stray;1864;24.10013046314416
PG19458;Mrs+West;Loyalists+Historical;1812;37.60847628657921
PG35528;Harry+Collingwood;Secret+Sands;1878;42.88602150537634
PG46697;Jane+Porter;Pastor+Fire;1817;29.35234590616375
PG28780;George+Worts;Peter+Brazen;1918;17.17920021837041
PG32560;Charles+Lever;Gerald+Fitzgerald;1861;27.359845674432407
PG43245;William+Howitt;Luke+Barnicott;1800;30.56286549707602
PG46045;Clair+Hayes;Allies+North;1912;16.57164068299926
PG29725;Mary+Sherwood;Fairchild+Family;1818;31.5625
PG22527;Ray+Cummings;Beyond+Vanishing;1932;12.64943896633798
